,Q1,Q9a,Q9b,Q9c,Q9d,Q9e,Q16a,Q16b,Q16c,Q16d,Q16e,Q16f,Q16g,Q16h,Q16i,Q17a,Q17b,Q17c,Q17d,Q18,Q20,Q22,p_gender_sdc,p_age_group_sdc,p_education_sdc,gambled_before
1764,4,4,4,4,3,4,2,1,2,4,1,4,2,2,1,3,2,3,2,10,10,3,1,2,1,1
1765,4,3,3,2,3,2,3,2,3,1,1,4,1,1,4,3,2,2,2,4,4,3,1,2,1,0
1766,2,3,2,2,3,3,3,1,2,2,4,3,4,2,2,3,1,2,4,4,8,3,1,2,1,0
1767,2,3,3,3,3,3,4,1,2,4,1,4,4,1,1,3,2,2,4,3,7,3,1,1,1,0
1768,4,4,4,4,4,4,3,1,1,2,1,4,4,2,1,4,1,3,4,1,10,1,1,3,3,0
1769,2,2,2,2,3,3,3,2,1,3,2,3,4,2,1,4,2,3,4,6,6,3,1,2,1,1
1770,2,2,4,3,2,3,3,2,2,3,2,3,3,2,2,3,2,3,3,6,7,3,2,2,1,1
1771,2,3,3,2,3,3,3,1,2,2,3,3,2,3,1,3,1,3,2,7,7,3,2,2,3,0
1772,2,3,3,2,2,3,3,2,2,4,2,3,3,2,2,2,2,2,2,5,7,2,2,1,2,1
1773,4,2,3,2,2,3,2,1,2,2,2,4,3,3,1,1,1,3,3,10,8,3,1,2,1,0
1774,4,3,3,2,3,3,3,2,3,3,2,3,3,3,2,3,3,2,3,8,7,2,2,1,3,0
1775,2,3,4,4,3,4,2,1,2,2,1,4,4,2,3,4,2,3,3,6,7,3,1,2,1,0
1776,4,3,3,2,3,3,3,1,1,3,2,4,4,2,2,3,1,3,3,3,7,1,1,4,1,1
1777,4,3,3,2,2,2,2,1,1,4,1,4,4,2,4,4,1,2,3,3,10,3,1,4,1,1
1778,2,3,2,2,2,2,1,2,3,3,2,2,2,3,2,2,3,2,2,7,5,1,1,2,2,1
1779,2,3,3,2,2,3,2,1,3,2,2,3,4,3,2,2,2,2,2,8,10,3,1,2,2,0
1780,4,2,4,3,2,3,1,2,2,2,2,2,2,3,1,2,3,2,2,6,9,1,2,2,2,0
1781,4,2,3,2,3,3,-98,2,2,-98,-98,4,3,3,2,3,2,-98,4,3,7,3,2,4,1,0
1782,4,2,3,2,2,2,2,1,2,3,2,3,4,3,2,4,1,4,4,7,8,3,1,4,1,0
1783,4,3,3,1,2,3,3,1,1,3,1,4,3,2,3,4,1,4,2,9,9,3,2,4,1,0
1784,2,2,2,3,1,2,2,1,4,4,1,4,4,1,1,4,1,3,1,5,8,3,1,4,1,1
1785,2,3,2,3,2,2,3,2,3,4,2,3,3,3,2,3,2,2,3,4,5,1,1,4,2,0
1786,2,3,4,3,2,3,2,1,1,3,2,3,3,2,1,4,1,2,2,7,7,1,1,3,3,1
1787,2,3,3,3,3,3,3,1,2,2,2,3,3,2,2,3,2,2,3,0,0,1,2, ,2,0
1788,2,4,4,4,4,4,3,1,1,4,1,4,4,1,1,3,1,3,3,0,10,1,2,3,3,1
1789,2,3,2,3,2,2,3,1,1,3,1,4,3,2,3,4,1,3,4,8,9,1,1, ,2,1
1790,2,4,3,3,3,4,4,1,1,4,1,4,4,1,1,4,4,4,4,7,8,1,1,2,2,1
1791,2,4,3,3,3,4,3,1,1,2,2,4,3,2,2,3,1,3,3,5,5,3,2,3,1,0
1792,2,3,3,3,2,3,3,2,1,3,1,3,3,2,1,3,3,2,2,8,8,1,1,4,2,1
1793,2,3,2,3,2,2,3,1,3,3,2,3,3,3,2,4,1,3,3,7,6,1,1,4,3,0
1794,2,2,3,3,3,3,3,1,1,3,2,3,4,2,2,4,1,4,3,8,7,1,1,2,2,0
1795,2,3,3,3,3,3,3,1,1,2,1,3,4,3,1,3,2,3,3,7,6,3,2,2,1,0
1796,4,3,3,3,3,3,2,2,2,4,1,3,3,1,2,3,2,2,2,5,5,3,1,2,2,1
1797,2,3,3,3,2,3,1,3,2,2,3,3,2,4,1,2,3,2,1,2,5,1,1,2,2,0
1798,2,3,3,2,3,3,2,2,-98,-98,-98,3,4,3,2,3,2,2,3,6,6,3,1,1,3,0
1799,4,4,4,3,2,1,2,3,1,2,1,3,1,3,2,2,3,2,2,10,10,3,1,3,1,1
1800,2,3,2,3,2,3,2,2,2,3,1,3,4,3,2,2,3,2,2,6,7,1,1,4,3,0
1801,1,4,4,4,2,2,4,1,1,3,1,4,4,1,1,4,1,4,4,9,3,1,1,1,2,1
1802,2,4,3,3,4,3,2,2,2,3,1,2,3,3,2,3,3,2,3,7,6,3,1, ,3,0
1803,2,2,3,2,1,3,3,2,2,3,2,3,3,3,2,3,2,3,3,8,8,3,1,3,1,1
1804,-98,3,2,2,2,3,2,1,4,3,1,4,3,2,1,3,2,2,3,10,5,1,1, ,1,0
1805,4,3,2,2,2,2,2,1,2,2,3,4,4,3,2,4,2,3,3,7,9,3,2,2, ,0
1806,1,2,2,2,2,3,3,2,3,3,2,3,3,3,2,2,2,2,2,7,9,1,1,3,2,1
1807,4,4,3,3,3,4,3,2,2,3,2,4,4,2,2,3,2,3,3,0,0,1,2,4,1,1
1808,2,3,3,2,3,2,3,3,3,3,3,3,3,3,3,3,2,3,3,5,5,2,2,1,3,1
1809,4,2,2,1,2,3,2,1,2,3,2,3,3,2,1,3,2,1,3,7,10,3,1,2,3,0
1810,2,2,3,3,3,3,2,1,1,3,1,3,3,3,1,3,2,2,3,7,9,3,1, ,1,0
1811,2,4,4,3,3,3,3,1,1,3,2,4,3,2,2,3,2,3,3,7,6,1,1,4,2,1
1812,2,2,2,2,2,2,2,3,3,2,2,3,3,3,3,2,3,2,3,6,9,1,1,3,2,0
1813,2,3,2,3,3,3,2,2,2,3,3,2,3,3,2,2,2,3,3,2,8,3,1,1,1,1
1814,2,4,2,3,2,2,2,3,2,4,1,3,4,3,3,-98,-98,-98,2,5,5,3,2,1,3,0
1815,4,3,3,3,3,3,2,1,1,4,1,4,4,3,1,4,1,4,4,7,10,1,1,4,3,0
1816,2,3,3,3,2,3,2,2,2,3,1,3,3,4,1,3,2,3,3,3,8,3,2,3,1,0
1817,2,4,4,3,2,3,3,1,3,2,3,3,4,3,3,3,2,3,2,7,5,1,1,4,2,0
1818,2,3,3,3,2,3,2,1,1,4,1,3,3,3,2,4,1,4,2,8,7,1,2,2,2,1
1819,2,3,3,3,3,4,2,2,3,3,2,3,2,3,1,3,3,2,2,8,7,1,2,2,3,0
1820,4,4,4,3,4,4,2,2,2,3,1,4,3,4,2,1,2,2,3,5,7,3,1,2,1,1
1821,2,3,3,3,2,3,3,1,2,3,2,3,3,2,3,4,1,4,4,0,7,2,2,2,1,1
1822,2,3,2,1,2,3,3,1,1,2,2,3,2,2,2,3,1,3,4,6,9,3,2,2,1,0
1823,4,4,3,2,3,3,2,1,2,2,2,3,3,2,1,3,2,2,2,7,7,1,2,1,3,1
